lat,lng,sum,adult,animal,children,baby,elderly
-30.0366772,-51.2264619,2,2,0,0,0,0
-30.0365804,-51.2316654,3,2,1,0,0,0
-30.0364061,-51.2328547,2,2,0,0,0,0
-30.0362913,-51.2344383,1,1,0,0,0,0
-30.0360346,-51.3273574,22,10,12,0,0,0
-30.0358469,-51.2331121,1,1,0,0,0,0
-30.0350536,-51.2254541,2,0,1,0,0,1
-30.0323658,-51.2301635,3,3,0,0,0,0
-30.0323315,-51.2250172,1,1,0,0,0,0
-30.031481,-51.234582,12,0,10,0,0,2
-30.030934,-51.2330643,2,0,0,0,0,2
-30.0308109,-51.2355188,1,1,0,0,0,0
-30.0307316,-51.2324281,1,1,0,0,0,0
-30.0307124,-51.2270105,3,3,0,0,0,0
-30.0306639,-51.2324011,4,1,3,0,0,0
-30.030634,-51.2328547,5,4,0,0,0,1
-30.0298436,-51.2294214,23,14,9,0,0,0
-30.0296136,-51.2348723,1,0,0,0,0,1
-30.0290378,-51.3096273,210,150,0,0,50,10
-30.0288108,-51.2255579,5,3,0,0,0,2
-30.0274816,-51.2265115,3,1,0,0,0,2
-30.0274499,-51.3098908,32,32,0,0,0,0
-30.0272463,-51.1286313,6,5,1,0,0,0
-30.026997,-51.3227654,9,9,0,0,0,0
-30.0268325,-51.2191464,1,1,0,0,0,0
-30.0263224,-51.2180722,6,3,0,0,0,3
-30.0262299,-51.217193,6,3,3,0,0,0
-30.0259792,-51.2248634,14,13,1,0,0,0
-30.0258519,-51.2259188,10,10,0,0,0,0
-30.025471,-51.22352,12,8,0,0,0,4
-30.0248572,-51.2146144,1,1,0,0,0,0
-30.0248231,-51.2149459,10,3,7,0,0,0
-30.0247351,-51.2543661,23,20,3,0,0,0
-30.024636,-51.2169602,18,3,15,0,0,0
-30.024619,-51.2225677,2,2,0,0,0,0
-30.0246092,-51.2150214,2,1,1,0,0,0
-30.0245989,-51.2143796,1,1,0,0,0,0
-30.0245774,-51.2153263,8,3,5,0,0,0
-30.0242876,-51.3214698,5,5,0,0,0,0
